id,name_uz,name_ru
1,O'zbek,Узбек
2,Rus,Русский
3,Qoralpoq,Каракалпак
4,Koreys,Кореец
5,Tojik,Таджик
6,Arman,Армянин
7,Gruzin,Грузин
8,Qozoq,Казах
9,Qirg'iz,Киргиз
10,Turkman,Туркмен
